PO_ID,Order_Date,Supplier_ID,Material_ID,Quantity,Unit_Price,Total_Cost
PO000033,2024-01-13,SUP015,MAT021,535,3036,1624260
PO000034,2025-10-06,SUP015,MAT018,47,1952,91744
PO000035,2025-06-02,SUP003,MAT024,194,4047,785118
PO000036,2024-03-06,SUP016,MAT021,761,4046,3079006
PO000037,2025-07-30,SUP019,MAT014,399,1149,458451
PO000038,2025-02-11,SUP018,MAT009,173,1692,292716
PO000039,2025-05-31,SUP003,MAT003,976,1006,981856
PO000040,2024-04-12,SUP002,MAT015,5229,29,151641
PO000041,2025-06-26,SUP013,MAT005,517,2074,1072258
PO000042,2024-12-18,SUP002,MAT004,292,2063,602396
PO000043,2025-05-07,SUP019,MAT011,77,1969,151613
PO000044,2024-11-10,SUP012,MAT004,497,911,452767
PO000045,2025-05-26,SUP018,MAT011,258,2396,618168
PO000046,2025-11-05,SUP019,MAT013,169,2072,350168
PO000047,2024-08-27,SUP018,MAT027,9596,20,191920
PO000048,2025-10-04,SUP015,MAT011,90,1199,107910
PO000049,2024-08-27,SUP015,MAT009,176,2413,424688
PO000050,2025-10-11,SUP013,MAT015,2294,24,55056
PO000051,2025-07-23,SUP001,MAT010,66,647,42702
PO000052,2024-11-04,SUP005,MAT008,843,2437,2054391
PO000053,2025-08-09,SUP007,MAT028,2417,49,118433
PO000054,2024-01-17,SUP001,MAT009,57,786,44802
PO000055,2024-10-18,SUP003,MAT003,872,794,692368
PO000056,2024-01-20,SUP002,MAT001,603,850,512550
PO000057,2025-08-13,SUP016,MAT022,237,3905,925485
PO000058,2024-02-22,SUP018,MAT006,519,3748,1945212
PO000059,2024-03-16,SUP001,MAT026,460,1158,532680
PO000060,2025-02-07,SUP002,MAT011,214,505,108070
PO000061,2025-12-30,SUP018,MAT015,1949,17,33133
PO000062,2025-01-18,SUP009,MAT002,962,982,944684
PO000063,2024-10-20,SUP008,MAT019,174,959,166866
PO000064,2024-03-28,SUP017,MAT008,983,3307,3250781
PO000065,2025-03-12,SUP003,MAT001,718,890,639020
PO000066,2024-10-30,SUP005,MAT023,915,612,559980
PO000067,2024-05-24,SUP015,MAT001,518,983,509194
PO000068,2025-04-26,SUP010,MAT001,745,918,683910
PO000069,2025-05-13,SUP003,MAT007,307,598,183586
PO000070,2024-08-09,SUP001,MAT019,139,2622,364458
PO000071,2024-12-12,SUP010,MAT030,106,1329,140874
PO000072,2025-11-27,SUP015,MAT027,5476,15,82140
PO000073,2024-03-04,SUP005,MAT014,748,801,599148
PO000074,2024-05-27,SUP009,MAT003,878,429,376662
PO000075,2024-03-03,SUP019,MAT015,9935,18,178830
PO000076,2025-02-26,SUP014,MAT026,543,1393,756399
PO000077,2025-02-02,SUP005,MAT009,224,1805,404320
PO000078,2024-05-11,SUP015,MAT004,326,3372,1099272
PO000079,2024-03-01,SUP005,MAT024,301,3064,922264
PO000080,2025-02-28,SUP002,MAT014,337,2810,946970
PO000081,2025-03-19,SUP006,MAT013,401,1817,728617
PO000082,2024-11-17,SUP009,MAT002,892,303,270276
PO000083,2025-08-26,SUP011,MAT016,5162,13,67106
PO000084,2025-05-26,SUP010,MAT029,111,643,71373
PO000085,2025-03-31,SUP020,MAT008,547,942,515274
PO000086,2024-09-07,SUP004,MAT017,3688,31,114328
PO000087,2024-05-26,SUP002,MAT009,263,1602,421326
PO000088,2025-12-25,SUP015,MAT019,142,1359,192978
PO000089,2024-12-08,SUP014,MAT011,112,1775,198800
PO000090,2024-02-27,SUP002,MAT030,256,1170,299520
PO000091,2024-06-26,SUP002,MAT028,5208,18,93744
PO000092,2025-05-03,SUP001,MAT030,245,1951,477995
PO000093,2025-02-28,SUP016,MAT003,890,319,283910
PO000094,2025-03-31,SUP016,MAT002,694,616,427504
PO000095,2025-12-03,SUP005,MAT007,547,1450,793150
PO000096,2024-12-23,SUP008,MAT029,215,1334,286810
PO000097,2024-08-30,SUP013,MAT019,154,819,126126
PO000098,2025-07-22,SUP012,MAT011,206,1226,252556
PO000099,2024-03-08,SUP013,MAT017,1297,32,41504
PO000100,2024-09-05,SUP011,MAT026,761,2042,1553962
PO000101,2024-12-18,SUP020,MAT019,178,1515,269670
PO000102,2025-06-19,SUP008,MAT010,292,2012,587504
PO000103,2024-08-12,SUP013,MAT029,159,1621,257739
PO000104,2025-07-12,SUP015,MAT012,251,1364,342364
PO000105,2024-12-19,SUP012,MAT027,9879,6,59274
PO000106,2024-10-14,SUP009,MAT027,7931,47,372757
PO000107,2025-04-19,SUP019,MAT014,619,482,298358
PO000108,2025-12-23,SUP018,MAT011,172,2430,417960
PO000109,2025-07-18,SUP017,MAT003,520,307,159640
PO000110,2025-12-29,SUP020,MAT018,87,557,48459
PO000111,2024-03-24,SUP010,MAT015,8671,13,112723
PO000112,2025-03-08,SUP009,MAT012,138,1907,263166
PO000113,2024-05-28,SUP005,MAT012,196,966,189336
PO000114,2025-11-29,SUP020,MAT022,316,3330,1052280
PO000115,2024-10-15,SUP002,MAT027,4411,19,83809
PO000116,2024-05-10,SUP011,MAT017,1266,34,43044
PO000117,2024-10-17,SUP008,MAT023,855,1238,1058490
PO000118,2025-06-26,SUP020,MAT004,724,369,267156
PO000119,2024-02-22,SUP002,MAT029,157,1994,313058
PO000120,2025-11-05,SUP003,MAT025,950,899,854050
PO000121,2024-08-23,SUP012,MAT020,329,2668,877772
PO000122,2025-11-27,SUP002,MAT022,364,1463,532532
PO000123,2024-08-06,SUP014,MAT017,2819,9,25371
PO000124,2025-02-24,SUP002,MAT021,466,1982,923612
PO000125,2025-08-02,SUP005,MAT009,263,582,153066
PO000126,2025-08-26,SUP001,MAT009,290,1366,396140
PO000127,2025-01-21,SUP013,MAT004,164,4868,798352
PO000128,2025-07-19,SUP013,MAT016,6293,48,302064
PO000129,2025-09-19,SUP020,MAT020,561,3409,1912449
PO000130,2025-11-07,SUP019,MAT027,7929,20,158580
PO000131,2025-07-20,SUP008,MAT002,208,351,73008
PO000132,2024-10-20,SUP008,MAT003,918,784,719712
PO000133,2024-02-11,SUP009,MAT016,2376,29,68904
PO000134,2025-06-30,SUP014,MAT029,172,1389,238908
PO000135,2025-10-01,SUP014,MAT016,9145,34,310930
PO000136,2024-07-17,SUP009,MAT028,5223,39,203697
PO000137,2024-04-16,SUP017,MAT030,221,1962,433602
PO000138,2024-04-29,SUP008,MAT018,56,792,44352
PO000139,2025-06-15,SUP012,MAT023,657,4599,3021543
PO000140,2024-10-16,SUP018,MAT027,8074,35,282590
PO000141,2024-06-29,SUP006,MAT026,280,1236,346080
PO000142,2025-12-14,SUP017,MAT012,200,2315,463000
PO000143,2025-05-01,SUP014,MAT015,3751,30,112530
PO000144,2024-03-27,SUP001,MAT007,362,1043,377566
PO000145,2025-07-01,SUP001,MAT014,399,4380,1747620
PO000146,2024-02-17,SUP005,MAT001,537,989,531093
PO000147,2024-08-12,SUP017,MAT003,224,577,129248
PO000148,2024-07-15,SUP008,MAT026,984,4068,4002912
PO000149,2025-11-18,SUP008,MAT002,439,768,337152
PO000150,2024-10-03,SUP012,MAT017,5774,30,173220
PO000151,2025-09-22,SUP007,MAT012,104,2029,211016
PO000152,2025-11-11,SUP001,MAT025,659,242,159478
PO000153,2025-12-15,SUP010,MAT016,7879,19,149701
PO000154,2024-07-07,SUP020,MAT005,190,3271,621490
PO000155,2024-08-31,SUP006,MAT012,59,2184,128856
PO000156,2025-08-03,SUP013,MAT019,163,2173,354199
PO000157,2025-07-09,SUP007,MAT002,438,782,342516
PO000158,2025-08-26,SUP018,MAT028,1247,24,29928
PO000159,2024-04-29,SUP009,MAT009,260,831,216060
PO000160,2024-03-24,SUP007,MAT007,387,1353,523611
PO000161,2024-10-13,SUP013,MAT019,130,903,117390
PO000162,2024-06-20,SUP004,MAT020,240,4825,1158000
PO000163,2024-03-21,SUP014,MAT015,2578,22,56716
PO000164,2024-03-13,SUP015,MAT021,962,709,682058
PO000165,2025-07-09,SUP007,MAT006,516,2319,1196604
PO000166,2025-01-09,SUP006,MAT022,166,3678,610548
PO000167,2025-12-02,SUP002,MAT017,2584,42,108528
PO000168,2025-07-20,SUP012,MAT014,871,4294,3740074
PO000169,2025-09-06,SUP013,MAT007,576,496,285696
PO000170,2025-01-12,SUP007,MAT005,751,4739,3558989
PO000171,2024-01-27,SUP013,MAT001,813,676,549588
PO000172,2025-02-02,SUP013,MAT022,635,4211,2673985
PO000173,2025-05-06,SUP005,MAT008,184,2766,508944
PO000174,2024-08-03,SUP017,MAT020,792,3375,2673000
PO000175,2024-05-12,SUP003,MAT019,77,2170,167090
PO000176,2025-05-21,SUP009,MAT011,249,2245,559005
PO000177,2024-05-21,SUP014,MAT002,972,1188,1154736
PO000178,2024-06-25,SUP006,MAT013,610,3403,2075830
PO000179,2024-05-14,SUP016,MAT027,1824,24,43776
PO000180,2025-07-17,SUP002,MAT024,213,1382,294366
PO000181,2025-03-20,SUP002,MAT008,886,2465,2183990
PO000182,2025-04-12,SUP013,MAT009,199,1778,353822
PO000183,2024-01-14,SUP015,MAT001,246,521,128166
PO000184,2024-08-20,SUP002,MAT030,144,514,74016
PO000185,2025-01-11,SUP018,MAT021,195,994,193830
PO000186,2024-07-13,SUP003,MAT018,143,1464,209352
PO000187,2024-05-28,SUP019,MAT028,5553,21,116613
PO000188,2025-05-02,SUP007,MAT015,4254,48,204192
PO000189,2025-04-11,SUP016,MAT002,593,670,397310
PO000190,2025-04-09,SUP011,MAT012,171,1047,179037
PO000191,2024-12-03,SUP015,MAT019,152,1846,280592
PO000192,2025-08-31,SUP003,MAT009,147,1379,202713
PO000193,2024-11-03,SUP010,MAT010,127,582,73914
PO000194,2025-05-04,SUP003,MAT008,815,2912,2373280
PO000195,2024-03-24,SUP008,MAT008,449,280,125720
PO000196,2025-06-09,SUP002,MAT016,1938,42,81396
PO000197,2024-04-09,SUP020,MAT026,663,4522,2998086
PO000198,2025-04-10,SUP011,MAT029,222,2270,503940
PO000199,2025-08-11,SUP001,MAT017,9654,26,251004
PO000200,2024-10-31,SUP003,MAT015,8863,41,363383
PO000201,2025-10-20,SUP005,MAT028,7429,20,148580
PO000202,2025-04-08,SUP019,MAT003,832,964,802048
PO000203,2024-01-03,SUP019,MAT024,253,4078,1031734
PO000204,2024-07-06,SUP016,MAT011,212,2399,508588
PO000205,2025-03-25,SUP015,MAT006,742,3657,2713494
PO000206,2024-03-25,SUP002,MAT023,847,4669,3954643
PO000207,2025-04-11,SUP015,MAT015,3539,24,84936
PO000208,2024-05-03,SUP005,MAT025,802,4856,3894512
PO000209,2025-06-28,SUP003,MAT022,372,2041,759252
PO000210,2025-10-05,SUP009,MAT010,108,1458,157464
PO000211,2025-03-20,SUP008,MAT019,77,2960,227920
PO000212,2024-02-26,SUP003,MAT022,390,3047,1188330
PO000213,2025-07-28,SUP003,MAT007,169,2665,450385
PO000214,2024-04-03,SUP012,MAT023,747,4493,3356271
PO000215,2025-08-29,SUP019,MAT029,140,721,100940
PO000216,2024-08-10,SUP011,MAT028,5563,12,66756
PO000217,2024-07-13,SUP016,MAT028,1004,12,12048
PO000218,2025-01-04,SUP015,MAT003,854,437,373198
PO000219,2025-02-19,SUP004,MAT009,122,1858,226676
PO000220,2025-04-12,SUP007,MAT014,182,870,158340
PO000221,2024-08-21,SUP012,MAT026,286,3370,963820
PO000222,2025-02-26,SUP006,MAT020,757,1078,816046
PO000223,2024-12-15,SUP004,MAT012,188,1897,356636
PO000224,2024-04-09,SUP006,MAT027,8595,36,309420
PO000225,2025-10-08,SUP016,MAT018,36,2256,81216
PO000226,2025-06-06,SUP011,MAT027,7568,41,310288
PO000227,2025-01-04,SUP008,MAT022,318,2107,670026
PO000228,2025-04-29,SUP004,MAT012,156,1348,210288
PO000229,2024-08-01,SUP007,MAT004,589,4049,2384861
PO000230,2025-08-20,SUP015,MAT017,1808,27,48816
PO000231,2024-11-29,SUP005,MAT014,846,4626,3913596
PO000232,2024-09-26,SUP006,MAT006,764,582,444648
PO000233,2025-04-10,SUP008,MAT008,150,2118,317700
PO000234,2025-05-21,SUP014,MAT019,43,2672,114896
PO000235,2024-01-12,SUP007,MAT010,105,2204,231420
PO000236,2024-07-29,SUP018,MAT024,231,3579,826749
PO000237,2024-12-18,SUP008,MAT021,876,629,551004
PO000238,2025-11-24,SUP001,MAT004,494,1883,930202
PO000239,2025-06-30,SUP001,MAT011,87,1559,135633
PO000240,2024-04-30,SUP016,MAT015,1604,49,78596
PO000241,2025-07-11,SUP009,MAT030,136,1817,247112
PO000242,2024-07-14,SUP013,MAT016,7242,44,318648
PO000243,2025-01-28,SUP003,MAT015,3212,48,154176
PO000244,2025-04-14,SUP007,MAT004,591,4321,2553711
PO000245,2025-01-28,SUP004,MAT013,886,4168,3692848
PO000246,2025-12-07,SUP004,MAT029,94,1012,95128
PO000247,2024-03-22,SUP004,MAT015,7621,27,205767
PO000248,2024-12-30,SUP010,MAT014,287,4519,1296953
PO000249,2025-01-10,SUP014,MAT008,479,2378,1139062
PO000250,2024-11-18,SUP017,MAT007,675,1916,1293300
PO000251,2025-02-05,SUP016,MAT013,744,4367,3249048
PO000252,2024-01-29,SUP013,MAT002,825,440,363000
PO000253,2025-06-26,SUP010,MAT006,313,3324,1040412
PO000254,2024-04-08,SUP002,MAT004,561,1869,1048509
PO000255,2024-09-26,SUP001,MAT009,72,641,46152
PO000256,2024-02-19,SUP004,MAT029,267,1845,492615
PO000257,2025-12-27,SUP009,MAT019,107,2904,310728
PO000258,2025-08-31,SUP012,MAT030,291,704,204864
PO000259,2024-06-20,SUP010,MAT019,116,1194,138504
PO000260,2025-10-11,SUP007,MAT021,548,4990,2734520
PO000261,2025-03-17,SUP002,MAT027,4525,42,190050
PO000262,2024-09-29,SUP001,MAT021,650,2230,1449500
PO000263,2025-09-17,SUP005,MAT028,7122,9,64098
PO000264,2025-08-26,SUP006,MAT029,273,2357,643461
PO000265,2025-04-19,SUP015,MAT005,304,1940,589760
PO000266,2025-06-20,SUP006,MAT009,289,2071,598519
PO000267,2024-02-07,SUP001,MAT002,960,315,302400
PO000268,2024-07-24,SUP013,MAT016,8046,11,88506
PO000269,2024-01-01,SUP011,MAT028,6394,35,223790
PO000270,2024-04-09,SUP018,MAT029,116,1302,151032
PO000271,2024-04-20,SUP020,MAT010,233,988,230204
PO000272,2025-03-02,SUP016,MAT001,480,811,389280
PO000273,2025-11-08,SUP008,MAT011,61,1442,87962
PO000274,2025-07-22,SUP017,MAT027,6846,7,47922
PO000275,2024-01-12,SUP001,MAT004,240,2025,486000
PO000276,2025-11-27,SUP010,MAT012,165,1691,279015
PO000277,2025-05-08,SUP006,MAT025,146,4562,666052
PO000278,2025-12-07,SUP002,MAT019,129,1557,200853
PO000279,2025-09-04,SUP009,MAT024,967,3325,3215275
PO000280,2025-05-13,SUP016,MAT007,201,4190,842190
PO000281,2025-04-13,SUP016,MAT019,196,735,144060
PO000282,2024-12-27,SUP013,MAT006,993,4668,4635324
PO000283,2025-06-27,SUP001,MAT001,632,369,233208
PO000284,2024-07-24,SUP010,MAT004,598,4625,2765750
PO000285,2024-09-07,SUP008,MAT005,151,2480,374480
PO000286,2025-08-31,SUP018,MAT011,124,967,119908
PO000287,2025-10-25,SUP012,MAT003,453,869,393657
PO000288,2024-08-12,SUP019,MAT028,4449,47,209103
PO000289,2024-07-28,SUP006,MAT018,133,1618,215194
PO000290,2024-09-08,SUP004,MAT012,61,2008,122488
PO000291,2024-10-21,SUP014,MAT012,83,677,56191
PO000292,2025-11-25,SUP016,MAT025,716,3936,2818176
PO000293,2024-08-15,SUP008,MAT003,475,1162,551950
PO000294,2024-12-05,SUP008,MAT011,290,2499,724710
PO000295,2024-04-09,SUP001,MAT019,133,2962,393946
PO000296,2025-04-28,SUP004,MAT028,2705,36,97380
PO000297,2024-05-27,SUP009,MAT021,297,3798,1128006
PO000298,2025-03-30,SUP015,MAT003,517,678,350526
PO000299,2025-11-06,SUP009,MAT001,753,1049,789897
PO000300,2024-01-29,SUP010,MAT028,1417,27,38259
PO000301,2025-12-09,SUP014,MAT009,53,1660,87980
PO000302,2024-12-28,SUP006,MAT006,900,1662,1495800
PO000303,2024-04-27,SUP010,MAT017,2931,40,117240
PO000304,2025-07-15,SUP011,MAT016,8473,8,67784
PO000305,2024-03-07,SUP020,MAT014,489,3486,1704654
PO000306,2024-07-11,SUP008,MAT021,500,4952,2476000
PO000307,2024-03-20,SUP011,MAT001,774,910,704340
PO000308,2025-04-23,SUP005,MAT030,198,2417,478566
PO000309,2025-12-17,SUP012,MAT023,644,4307,2773708
PO000310,2024-11-23,SUP002,MAT021,859,487,418333
PO000311,2024-05-06,SUP002,MAT026,102,3985,406470
PO000312,2024-10-04,SUP004,MAT023,693,423,293139
PO000313,2024-01-19,SUP014,MAT017,9278,44,408232
PO000314,2025-01-07,SUP006,MAT018,95,2975,282625
PO000315,2025-03-17,SUP005,MAT030,299,857,256243
PO000316,2025-06-27,SUP010,MAT007,615,3553,2185095
PO000317,2025-11-22,SUP017,MAT002,261,658,171738
PO000318,2025-05-30,SUP007,MAT028,2899,33,95667
PO000319,2024-09-26,SUP017,MAT027,3067,48,147216
PO000320,2025-09-05,SUP005,MAT012,230,1327,305210
PO000321,2024-12-05,SUP005,MAT001,447,874,390678
PO000322,2024-02-25,SUP007,MAT006,915,1683,1539945
PO000323,2025-04-22,SUP010,MAT013,147,2358,346626
PO000324,2025-07-23,SUP010,MAT025,417,4779,1992843
PO000325,2025-12-13,SUP015,MAT001,834,953,794802
PO000326,2024-06-16,SUP002,MAT026,339,3976,1347864
PO000327,2024-07-12,SUP015,MAT023,931,3699,3443769
PO000328,2025-11-22,SUP019,MAT020,969,1556,1507764
PO000329,2025-06-06,SUP012,MAT021,624,3016,1881984
PO000330,2025-07-23,SUP015,MAT027,8027,23,184621
PO000331,2024-07-24,SUP010,MAT028,4289,45,193005
PO000332,2025-09-01,SUP015,MAT004,772,1618,1249096
PO000333,2025-06-09,SUP004,MAT016,9901,25,247525
PO000334,2024-12-29,SUP014,MAT023,978,1565,1530570
PO000335,2024-11-12,SUP010,MAT019,135,2377,320895
PO000336,2024-01-22,SUP001,MAT018,151,680,102680
PO000337,2024-07-16,SUP002,MAT028,2538,35,88830
PO000338,2025-02-13,SUP008,MAT008,546,1897,1035762
PO000339,2024-09-20,SUP015,MAT028,6835,40,273400
PO000340,2024-07-22,SUP004,MAT009,208,1481,308048
PO000341,2025-06-05,SUP018,MAT017,6994,36,251784
PO000342,2024-12-06,SUP008,MAT020,310,210,65100
PO000343,2024-11-11,SUP007,MAT013,426,3363,1432638
PO000344,2024-12-29,SUP010,MAT012,53,932,49396
PO000345,2024-09-13,SUP005,MAT017,4461,29,129369
PO000346,2024-04-26,SUP004,MAT015,9318,30,279540
PO000347,2024-11-16,SUP003,MAT001,247,675,166725
PO000348,2025-02-19,SUP019,MAT021,827,3620,2993740
PO000349,2024-06-05,SUP020,MAT022,983,3344,3287152
PO000350,2024-12-04,SUP005,MAT015,5657,15,84855
PO000351,2024-05-19,SUP014,MAT027,6259,49,306691
PO000352,2025-01-26,SUP004,MAT029,266,1190,316540
PO000353,2025-11-11,SUP013,MAT028,9232,44,406208
PO000354,2025-05-13,SUP002,MAT009,103,1650,169950
PO000355,2024-05-01,SUP013,MAT017,4769,37,176453
PO000356,2025-05-25,SUP010,MAT027,3113,44,136972
PO000357,2025-04-14,SUP017,MAT010,275,1814,498850
PO000358,2024-08-31,SUP018,MAT003,399,791,315609
PO000359,2024-10-23,SUP007,MAT010,75,1324,99300
PO000360,2024-03-11,SUP012,MAT024,719,4413,3172947
PO000361,2024-01-14,SUP008,MAT015,8889,28,248892
PO000362,2024-03-25,SUP014,MAT012,291,2454,714114
PO000363,2024-09-02,SUP012,MAT022,272,4584,1246848
PO000364,2025-11-06,SUP020,MAT026,857,3068,2629276
PO000365,2024-05-01,SUP010,MAT020,449,828,371772
PO000366,2025-02-16,SUP012,MAT005,253,3437,869561
PO000367,2024-03-12,SUP014,MAT022,115,4609,530035
PO000368,2025-10-02,SUP016,MAT030,213,2010,428130
PO000369,2024-06-09,SUP013,MAT028,7628,8,61024
PO000370,2024-07-09,SUP011,MAT022,800,2227,1781600
PO000371,2025-11-16,SUP008,MAT026,405,3705,1500525
PO000372,2024-01-24,SUP002,MAT003,896,511,457856
PO000373,2024-06-02,SUP006,MAT004,208,1598,332384
PO000374,2024-05-23,SUP003,MAT029,136,1968,267648
PO000375,2025-02-17,SUP014,MAT014,931,1002,932862
PO000376,2025-02-08,SUP019,MAT023,881,4910,4325710
PO000377,2025-03-25,SUP002,MAT003,955,963,919665
PO000378,2025-08-21,SUP003,MAT030,82,2082,170724
PO000379,2024-07-05,SUP007,MAT025,113,4066,459458
PO000380,2025-04-27,SUP018,MAT004,183,3065,560895
PO000381,2025-05-14,SUP003,MAT002,524,1028,538672
PO000382,2025-09-23,SUP019,MAT028,7169,44,315436
PO000383,2024-11-06,SUP004,MAT001,347,1069,370943
PO000384,2025-02-10,SUP005,MAT030,200,1899,379800
PO000385,2025-11-09,SUP010,MAT013,807,1755,1416285
PO000386,2025-08-10,SUP001,MAT017,3421,16,54736
PO000387,2024-10-07,SUP005,MAT006,651,4212,2742012
PO000388,2025-10-16,SUP004,MAT016,5543,38,210634
PO000389,2025-12-07,SUP012,MAT014,853,2430,2072790
PO000390,2024-01-06,SUP016,MAT016,7766,50,388300
PO000391,2024-03-31,SUP014,MAT028,1679,24,40296
PO000392,2025-12-10,SUP003,MAT019,164,1162,190568
PO000393,2025-04-12,SUP007,MAT026,252,1858,468216
PO000394,2025-11-09,SUP020,MAT003,341,629,214489
PO000395,2025-09-30,SUP020,MAT020,769,1942,1493398
PO000396,2025-04-16,SUP014,MAT013,412,1093,450316
PO000397,2025-10-31,SUP016,MAT024,544,3402,1850688
PO000398,2025-01-18,SUP016,MAT017,3141,5,15705
PO000399,2025-02-09,SUP019,MAT025,939,3393,3186027
PO000400,2024-12-24,SUP007,MAT001,546,878,479388
PO000401,2025-08-06,SUP003,MAT009,250,1189,297250
PO000402,2024-03-18,SUP019,MAT023,400,3525,1410000
PO000403,2025-10-11,SUP006,MAT018,110,1409,154990
PO000404,2024-08-21,SUP005,MAT022,450,525,236250
PO000405,2025-07-31,SUP012,MAT023,656,1395,915120
PO000406,2024-03-07,SUP010,MAT016,7657,22,168454
PO000407,2024-11-03,SUP016,MAT030,60,1903,114180
PO000408,2025-08-27,SUP006,MAT026,230,1753,403190
PO000409,2024-03-30,SUP009,MAT021,217,1982,430094
PO000410,2024-11-14,SUP011,MAT028,5358,34,182172
PO000411,2024-11-25,SUP009,MAT010,225,1333,299925
PO000412,2025-01-29,SUP012,MAT023,741,3621,2683161
PO000413,2025-11-18,SUP014,MAT010,177,1609,284793
PO000414,2024-12-08,SUP015,MAT010,83,911,75613
PO000415,2025-08-28,SUP010,MAT029,108,2123,229284
PO000416,2025-09-06,SUP004,MAT030,50,2008,100400
PO000417,2025-09-16,SUP008,MAT019,122,1390,169580
PO000418,2025-07-05,SUP018,MAT028,7197,30,215910
PO000419,2025-12-31,SUP002,MAT017,2172,42,91224
PO000420,2025-11-05,SUP007,MAT017,8711,9,78399
PO000421,2025-09-25,SUP001,MAT007,155,1699,263345
PO000422,2024-09-28,SUP020,MAT007,470,1354,636380
PO000423,2024-12-06,SUP008,MAT026,708,1770,1253160
PO000424,2025-11-07,SUP006,MAT004,650,4179,2716350
PO000425,2024-10-19,SUP005,MAT017,4642,14,64988
PO000426,2024-06-21,SUP008,MAT010,128,2199,281472
PO000427,2024-03-03,SUP020,MAT009,274,679,186046
PO000428,2024-03-06,SUP007,MAT011,100,619,61900
PO000429,2024-12-06,SUP020,MAT025,780,696,542880
PO000430,2024-06-03,SUP019,MAT018,78,2251,175578
PO000431,2025-11-01,SUP017,MAT015,4982,22,109604
PO000432,2025-01-01,SUP014,MAT012,103,806,83018
PO000433,2024-04-27,SUP002,MAT021,978,1322,1292916
PO000434,2025-03-11,SUP012,MAT002,267,486,129762
PO000435,2025-01-29,SUP009,MAT029,79,677,53483
PO000436,2025-04-30,SUP008,MAT007,950,4916,4670200
PO000437,2025-12-29,SUP007,MAT002,980,428,419440
PO000438,2025-08-22,SUP011,MAT012,251,1899,476649
PO000439,2024-05-31,SUP017,MAT016,9356,7,65492
PO000440,2025-09-03,SUP017,MAT009,55,1679,92345
PO000441,2025-07-08,SUP002,MAT016,5823,29,168867
PO000442,2024-11-06,SUP004,MAT017,5684,18,102312
PO000443,2024-03-09,SUP016,MAT012,180,1162,209160
PO000444,2025-09-24,SUP019,MAT001,314,1122,352308
PO000445,2024-05-06,SUP007,MAT014,613,1135,695755
PO000446,2025-04-20,SUP020,MAT002,730,348,254040
PO000447,2024-10-30,SUP016,MAT013,862,4377,3772974
PO000448,2024-01-05,SUP016,MAT021,950,2973,2824350
PO000449,2025-01-06,SUP008,MAT008,325,4035,1311375
PO000450,2024-08-10,SUP015,MAT021,504,3684,1856736
PO000451,2025-09-02,SUP019,MAT011,193,1143,220599
PO000452,2024-08-01,SUP008,MAT019,39,2091,81549
PO000453,2024-03-30,SUP017,MAT029,282,923,260286
PO000454,2025-04-13,SUP010,MAT027,2200,31,68200
PO000455,2025-05-22,SUP012,MAT017,6909,35,241815
PO000456,2025-06-20,SUP010,MAT024,863,4781,4126003
PO000457,2025-01-22,SUP012,MAT018,87,641,55767
PO000458,2025-10-23,SUP013,MAT025,223,1392,310416
PO000459,2025-12-25,SUP006,MAT014,532,2801,1490132
PO000460,2024-12-30,SUP015,MAT009,73,1619,118187
PO000461,2024-05-02,SUP005,MAT020,223,1720,383560
PO000462,2025-08-02,SUP002,MAT029,243,1442,350406
PO000463,2025-01-03,SUP003,MAT014,287,4669,1340003
