Delivery_ID,PO_ID,Promised_Date,Delivery_Date,Delay_Days
DEL000057,PO000057,2025-08-22,2025-08-27,5
DEL000058,PO000058,2024-03-03,2024-03-02,-1
DEL000059,PO000059,2024-03-26,2024-03-24,-2
DEL000060,PO000060,2025-02-19,2025-02-21,2
DEL000061,PO000061,2026-01-09,2026-01-07,-2
DEL000062,PO000062,2025-02-07,2025-02-08,1
DEL000063,PO000063,2024-11-10,2024-11-09,-1
DEL000064,PO000064,2024-04-05,2024-04-06,1
DEL000065,PO000065,2025-03-26,2025-03-24,-2
DEL000066,PO000066,2024-11-06,2024-11-10,4
DEL000067,PO000067,2024-06-11,2024-06-13,2
DEL000068,PO000068,2025-05-11,2025-05-10,-1
DEL000069,PO000069,2025-05-27,2025-05-28,1
DEL000070,PO000070,2024-08-19,2024-08-20,1
DEL000071,PO000071,2024-12-27,2024-12-28,1
DEL000072,PO000072,2025-12-15,2025-12-18,3
DEL000073,PO000073,2024-03-11,2024-03-13,2
DEL000074,PO000074,2024-06-16,2024-06-20,4
DEL000075,PO000075,2024-03-15,2024-03-18,3
DEL000076,PO000076,2025-03-17,2025-03-19,2
DEL000077,PO000077,2025-02-09,2025-02-10,1
DEL000078,PO000078,2024-05-29,2024-05-30,1
DEL000079,PO000079,2024-03-08,2024-03-08,0
DEL000080,PO000080,2025-03-12,2025-03-10,-2
DEL000081,PO000081,2025-03-30,2025-03-28,-2
DEL000082,PO000082,2024-12-07,2024-12-07,0
DEL000083,PO000083,2025-09-12,2025-09-14,2
DEL000084,PO000084,2025-06-10,2025-06-11,1
DEL000085,PO000085,2025-04-21,2025-04-22,1
DEL000086,PO000086,2024-09-15,2024-09-15,0
DEL000087,PO000087,2024-06-07,2024-06-09,2
DEL000088,PO000088,2026-01-12,2026-01-16,4
DEL000089,PO000089,2024-12-27,2024-12-25,-2
DEL000090,PO000090,2024-03-10,2024-03-14,4
DEL000091,PO000091,2024-07-08,2024-07-06,-2
DEL000092,PO000092,2025-05-13,2025-05-14,1
DEL000093,PO000093,2025-03-09,2025-03-08,-1
DEL000094,PO000094,2025-04-09,2025-04-14,5
DEL000095,PO000095,2025-12-10,2025-12-09,-1
DEL000096,PO000096,2025-01-13,2025-01-12,-1
DEL000097,PO000097,2024-09-23,2024-09-24,1
DEL000098,PO000098,2025-08-13,2025-08-13,0
DEL000099,PO000099,2024-04-01,2024-04-02,1
DEL000100,PO000100,2024-09-22,2024-09-26,4
DEL000101,PO000101,2025-01-08,2025-01-13,5
DEL000102,PO000102,2025-07-10,2025-07-14,4
DEL000103,PO000103,2024-09-05,2024-09-10,5
DEL000104,PO000104,2025-07-30,2025-08-02,3
DEL000105,PO000105,2025-01-10,2025-01-09,-1
DEL000106,PO000106,2024-11-03,2024-11-02,-1
DEL000107,PO000107,2025-05-01,2025-05-02,1
DEL000108,PO000108,2026-01-02,2025-12-31,-2
DEL000109,PO000109,2025-07-26,2025-07-28,2
DEL000110,PO000110,2026-01-19,2026-01-23,4
DEL000111,PO000111,2024-04-08,2024-04-09,1
DEL000112,PO000112,2025-03-28,2025-03-28,0
DEL000113,PO000113,2024-06-04,2024-06-06,2
DEL000114,PO000114,2025-12-20,2025-12-20,0
DEL000115,PO000115,2024-10-27,2024-10-27,0
DEL000116,PO000116,2024-05-27,2024-06-01,5
DEL000117,PO000117,2024-11-07,2024-11-07,0
DEL000118,PO000118,2025-07-17,2025-07-21,4
DEL000119,PO000119,2024-03-05,2024-03-07,2
DEL000120,PO000120,2025-11-19,2025-11-19,0
DEL000121,PO000121,2024-09-14,2024-09-18,4
DEL000122,PO000122,2025-12-09,2025-12-08,-1
DEL000123,PO000123,2024-08-25,2024-08-28,3
DEL000124,PO000124,2025-03-08,2025-03-07,-1
DEL000125,PO000125,2025-08-09,2025-08-12,3
DEL000126,PO000126,2025-09-05,2025-09-09,4
DEL000127,PO000127,2025-02-14,2025-02-17,3
DEL000128,PO000128,2025-08-12,2025-08-13,1
DEL000129,PO000129,2025-10-10,2025-10-11,1
DEL000130,PO000130,2025-11-19,2025-11-24,5
DEL000131,PO000131,2025-08-10,2025-08-14,4
DEL000132,PO000132,2024-11-10,2024-11-15,5
DEL000133,PO000133,2024-03-02,2024-03-07,5
DEL000134,PO000134,2025-07-19,2025-07-23,4
DEL000135,PO000135,2025-10-20,2025-10-25,5
DEL000136,PO000136,2024-08-06,2024-08-09,3
DEL000137,PO000137,2024-04-24,2024-04-24,0
DEL000138,PO000138,2024-05-20,2024-05-25,5
DEL000139,PO000139,2025-07-07,2025-07-08,1
DEL000140,PO000140,2024-10-26,2024-10-26,0
DEL000141,PO000141,2024-07-10,2024-07-08,-2
DEL000142,PO000142,2025-12-22,2025-12-26,4
DEL000143,PO000143,2025-05-20,2025-05-19,-1
DEL000144,PO000144,2024-04-06,2024-04-11,5
DEL000145,PO000145,2025-07-11,2025-07-10,-1
DEL000146,PO000146,2024-02-24,2024-02-28,4
DEL000147,PO000147,2024-08-20,2024-08-25,5
DEL000148,PO000148,2024-08-05,2024-08-05,0
DEL000149,PO000149,2025-12-09,2025-12-11,2
DEL000150,PO000150,2024-10-25,2024-10-26,1
DEL000151,PO000151,2025-10-10,2025-10-12,2
DEL000152,PO000152,2025-11-21,2025-11-25,4
DEL000153,PO000153,2025-12-30,2026-01-02,3
DEL000154,PO000154,2024-07-28,2024-07-28,0
DEL000155,PO000155,2024-09-11,2024-09-09,-2
DEL000156,PO000156,2025-08-27,2025-08-27,0
DEL000157,PO000157,2025-07-27,2025-07-28,1
DEL000158,PO000158,2025-09-05,2025-09-04,-1
DEL000159,PO000159,2024-05-19,2024-05-20,1
DEL000160,PO000160,2024-04-11,2024-04-10,-1
DEL000161,PO000161,2024-11-06,2024-11-04,-2
DEL000162,PO000162,2024-06-28,2024-06-26,-2
DEL000163,PO000163,2024-04-09,2024-04-09,0
DEL000164,PO000164,2024-03-31,2024-04-04,4
DEL000165,PO000165,2025-07-27,2025-07-26,-1
DEL000166,PO000166,2025-01-20,2025-01-18,-2
DEL000167,PO000167,2025-12-14,2025-12-15,1
DEL000168,PO000168,2025-08-11,2025-08-16,5
DEL000169,PO000169,2025-09-30,2025-10-05,5
DEL000170,PO000170,2025-01-30,2025-01-28,-2
DEL000171,PO000171,2024-02-20,2024-02-21,1
DEL000172,PO000172,2025-02-26,2025-02-25,-1
DEL000173,PO000173,2025-05-13,2025-05-17,4
DEL000174,PO000174,2024-08-11,2024-08-16,5
DEL000175,PO000175,2024-05-26,2024-05-29,3
DEL000176,PO000176,2025-06-10,2025-06-08,-2
DEL000177,PO000177,2024-06-09,2024-06-09,0
DEL000178,PO000178,2024-07-06,2024-07-05,-1
DEL000179,PO000179,2024-05-23,2024-05-28,5
DEL000180,PO000180,2025-07-29,2025-07-28,-1
DEL000181,PO000181,2025-04-01,2025-04-02,1
DEL000182,PO000182,2025-05-06,2025-05-05,-1
DEL000183,PO000183,2024-02-01,2024-01-31,-1
DEL000184,PO000184,2024-09-01,2024-09-03,2
DEL000185,PO000185,2025-01-21,2025-01-21,0
DEL000186,PO000186,2024-07-27,2024-07-30,3
DEL000187,PO000187,2024-06-09,2024-06-10,1
DEL000188,PO000188,2025-05-20,2025-05-23,3
DEL000189,PO000189,2025-04-20,2025-04-21,1
DEL000190,PO000190,2025-04-26,2025-04-27,1
DEL000191,PO000191,2024-12-21,2024-12-26,5
DEL000192,PO000192,2025-09-14,2025-09-18,4
DEL000193,PO000193,2024-11-18,2024-11-20,2
DEL000194,PO000194,2025-05-18,2025-05-17,-1
DEL000195,PO000195,2024-04-14,2024-04-15,1
DEL000196,PO000196,2025-06-21,2025-06-20,-1
DEL000197,PO000197,2024-04-30,2024-05-01,1
DEL000198,PO000198,2025-04-27,2025-04-30,3
DEL000199,PO000199,2025-08-21,2025-08-20,-1
DEL000200,PO000200,2024-11-14,2024-11-14,0
DEL000201,PO000201,2025-10-27,2025-10-26,-1
DEL000202,PO000202,2025-04-20,2025-04-21,1
DEL000203,PO000203,2024-01-15,2024-01-19,4
DEL000204,PO000204,2024-07-15,2024-07-20,5
DEL000205,PO000205,2025-04-12,2025-04-14,2
DEL000206,PO000206,2024-04-06,2024-04-07,1
DEL000207,PO000207,2025-04-29,2025-05-01,2
DEL000208,PO000208,2024-05-10,2024-05-09,-1
DEL000209,PO000209,2025-07-12,2025-07-17,5
DEL000210,PO000210,2025-10-25,2025-10-30,5
DEL000211,PO000211,2025-04-10,2025-04-11,1
DEL000212,PO000212,2024-03-11,2024-03-13,2
DEL000213,PO000213,2025-08-11,2025-08-15,4
DEL000214,PO000214,2024-04-25,2024-04-25,0
DEL000215,PO000215,2025-09-10,2025-09-11,1
DEL000216,PO000216,2024-08-27,2024-08-31,4
DEL000217,PO000217,2024-07-22,2024-07-26,4
DEL000218,PO000218,2025-01-22,2025-01-21,-1
DEL000219,PO000219,2025-02-27,2025-02-26,-1
DEL000220,PO000220,2025-04-30,2025-04-30,0
DEL000221,PO000221,2024-09-12,2024-09-15,3
DEL000222,PO000222,2025-03-09,2025-03-14,5
DEL000223,PO000223,2024-12-23,2024-12-24,1
DEL000224,PO000224,2024-04-20,2024-04-18,-2
DEL000225,PO000225,2025-10-17,2025-10-18,1
DEL000226,PO000226,2025-06-23,2025-06-27,4
DEL000227,PO000227,2025-01-25,2025-01-29,4
DEL000228,PO000228,2025-05-07,2025-05-09,2
DEL000229,PO000229,2024-08-19,2024-08-23,4
DEL000230,PO000230,2025-09-07,2025-09-06,-1
DEL000231,PO000231,2024-12-06,2024-12-10,4
DEL000232,PO000232,2024-10-07,2024-10-09,2
DEL000233,PO000233,2025-05-01,2025-05-06,5
DEL000234,PO000234,2025-06-09,2025-06-11,2
DEL000235,PO000235,2024-01-30,2024-02-01,2
DEL000236,PO000236,2024-08-08,2024-08-07,-1
DEL000237,PO000237,2025-01-08,2025-01-07,-1
DEL000238,PO000238,2025-12-04,2025-12-07,3
DEL000239,PO000239,2025-07-10,2025-07-09,-1
DEL000240,PO000240,2024-05-09,2024-05-11,2
DEL000241,PO000241,2025-07-31,2025-08-01,1
DEL000242,PO000242,2024-08-07,2024-08-10,3
DEL000243,PO000243,2025-02-11,2025-02-16,5
DEL000244,PO000244,2025-05-02,2025-05-07,5
DEL000245,PO000245,2025-02-05,2025-02-03,-2
DEL000246,PO000246,2025-12-15,2025-12-14,-1
DEL000247,PO000247,2024-03-30,2024-04-03,4
DEL000248,PO000248,2025-01-14,2025-01-17,3
DEL000249,PO000249,2025-01-29,2025-02-02,4
DEL000250,PO000250,2024-11-26,2024-11-30,4
DEL000251,PO000251,2025-02-14,2025-02-17,3
DEL000252,PO000252,2024-02-22,2024-02-22,0
DEL000253,PO000253,2025-07-11,2025-07-11,0
DEL000254,PO000254,2024-04-20,2024-04-20,0
DEL000255,PO000255,2024-10-06,2024-10-06,0
DEL000256,PO000256,2024-02-27,2024-03-03,5
DEL000257,PO000257,2026-01-16,2026-01-16,0
DEL000258,PO000258,2025-09-22,2025-09-22,0
DEL000259,PO000259,2024-07-05,2024-07-10,5
DEL000260,PO000260,2025-10-29,2025-11-03,5
DEL000261,PO000261,2025-03-29,2025-03-30,1
DEL000262,PO000262,2024-10-09,2024-10-10,1
DEL000263,PO000263,2025-09-24,2025-09-27,3
DEL000264,PO000264,2025-09-06,2025-09-05,-1
DEL000265,PO000265,2025-05-07,2025-05-06,-1
DEL000266,PO000266,2025-07-01,2025-07-05,4
DEL000267,PO000267,2024-02-17,2024-02-21,4
DEL000268,PO000268,2024-08-17,2024-08-20,3
DEL000269,PO000269,2024-01-18,2024-01-16,-2
DEL000270,PO000270,2024-04-19,2024-04-19,0
DEL000271,PO000271,2024-05-11,2024-05-15,4
DEL000272,PO000272,2025-03-11,2025-03-13,2
DEL000273,PO000273,2025-11-29,2025-11-29,0
DEL000274,PO000274,2025-07-30,2025-07-29,-1
DEL000275,PO000275,2024-01-22,2024-01-23,1
DEL000276,PO000276,2025-12-12,2025-12-12,0
DEL000277,PO000277,2025-05-19,2025-05-21,2
DEL000278,PO000278,2025-12-19,2025-12-22,3
DEL000279,PO000279,2025-09-24,2025-09-24,0
DEL000280,PO000280,2025-05-22,2025-05-23,1
DEL000281,PO000281,2025-04-22,2025-04-27,5
DEL000282,PO000282,2025-01-20,2025-01-21,1
DEL000283,PO000283,2025-07-07,2025-07-07,0
DEL000284,PO000284,2024-08-08,2024-08-12,4
DEL000285,PO000285,2024-09-28,2024-09-30,2
DEL000286,PO000286,2025-09-10,2025-09-10,0
DEL000287,PO000287,2025-11-16,2025-11-17,1
DEL000288,PO000288,2024-08-24,2024-08-22,-2
DEL000289,PO000289,2024-08-08,2024-08-11,3
DEL000290,PO000290,2024-09-16,2024-09-20,4
DEL000291,PO000291,2024-11-09,2024-11-09,0
DEL000292,PO000292,2025-12-04,2025-12-04,0
DEL000293,PO000293,2024-09-05,2024-09-06,1
DEL000294,PO000294,2024-12-26,2024-12-28,2
DEL000295,PO000295,2024-04-19,2024-04-24,5
DEL000296,PO000296,2025-05-06,2025-05-08,2
DEL000297,PO000297,2024-06-16,2024-06-20,4
DEL000298,PO000298,2025-04-17,2025-04-17,0
DEL000299,PO000299,2025-11-26,2025-11-24,-2
DEL000300,PO000300,2024-02-13,2024-02-16,3
DEL000301,PO000301,2025-12-28,2025-12-28,0
DEL000302,PO000302,2025-01-08,2025-01-08,0
DEL000303,PO000303,2024-05-12,2024-05-14,2
DEL000304,PO000304,2025-08-01,2025-07-30,-2
DEL000305,PO000305,2024-03-28,2024-03-29,1
DEL000306,PO000306,2024-08-01,2024-07-31,-1
DEL000307,PO000307,2024-04-06,2024-04-04,-2
DEL000308,PO000308,2025-04-30,2025-05-05,5
DEL000309,PO000309,2026-01-08,2026-01-10,2
DEL000310,PO000310,2024-12-05,2024-12-06,1
DEL000311,PO000311,2024-05-18,2024-05-20,2
DEL000312,PO000312,2024-10-12,2024-10-10,-2
DEL000313,PO000313,2024-02-07,2024-02-09,2
DEL000314,PO000314,2025-01-18,2025-01-18,0
DEL000315,PO000315,2025-03-24,2025-03-29,5
DEL000316,PO000316,2025-07-12,2025-07-12,0
DEL000317,PO000317,2025-11-30,2025-12-02,2
DEL000318,PO000318,2025-06-17,2025-06-20,3
DEL000319,PO000319,2024-10-04,2024-10-06,2
DEL000320,PO000320,2025-09-12,2025-09-11,-1
DEL000321,PO000321,2024-12-12,2024-12-15,3
DEL000322,PO000322,2024-03-14,2024-03-12,-2
DEL000323,PO000323,2025-05-07,2025-05-08,1
DEL000324,PO000324,2025-08-07,2025-08-08,1
DEL000325,PO000325,2025-12-31,2026-01-04,4
DEL000326,PO000326,2024-06-28,2024-07-03,5
DEL000327,PO000327,2024-07-30,2024-07-29,-1
DEL000328,PO000328,2025-12-04,2025-12-06,2
DEL000329,PO000329,2025-06-28,2025-06-27,-1
DEL000330,PO000330,2025-08-10,2025-08-08,-2
DEL000331,PO000331,2024-08-08,2024-08-10,2
DEL000332,PO000332,2025-09-19,2025-09-20,1
DEL000333,PO000333,2025-06-17,2025-06-21,4
DEL000334,PO000334,2025-01-17,2025-01-16,-1
DEL000335,PO000335,2024-11-27,2024-12-01,4
DEL000336,PO000336,2024-02-01,2024-02-06,5
DEL000337,PO000337,2024-07-28,2024-08-02,5
DEL000338,PO000338,2025-03-06,2025-03-09,3
DEL000339,PO000339,2024-10-08,2024-10-12,4
DEL000340,PO000340,2024-07-30,2024-07-30,0
DEL000341,PO000341,2025-06-15,2025-06-16,1
DEL000342,PO000342,2024-12-27,2024-12-25,-2
DEL000343,PO000343,2024-11-29,2024-11-29,0
DEL000344,PO000344,2025-01-13,2025-01-18,5
DEL000345,PO000345,2024-09-20,2024-09-20,0
DEL000346,PO000346,2024-05-04,2024-05-04,0
DEL000347,PO000347,2024-11-30,2024-12-03,3
DEL000348,PO000348,2025-03-03,2025-03-07,4
DEL000349,PO000349,2024-06-26,2024-06-27,1
DEL000350,PO000350,2024-12-11,2024-12-15,4
DEL000351,PO000351,2024-06-07,2024-06-11,4
DEL000352,PO000352,2025-02-03,2025-02-08,5
DEL000353,PO000353,2025-12-05,2025-12-10,5
DEL000354,PO000354,2025-05-25,2025-05-30,5
DEL000355,PO000355,2024-05-25,2024-05-27,2
DEL000356,PO000356,2025-06-09,2025-06-13,4
DEL000357,PO000357,2025-04-22,2025-04-20,-2
DEL000358,PO000358,2024-09-10,2024-09-15,5
DEL000359,PO000359,2024-11-10,2024-11-13,3
DEL000360,PO000360,2024-04-02,2024-04-07,5
DEL000361,PO000361,2024-02-04,2024-02-04,0
DEL000362,PO000362,2024-04-13,2024-04-17,4
DEL000363,PO000363,2024-09-24,2024-09-29,5
DEL000364,PO000364,2025-11-27,2025-11-29,2
DEL000365,PO000365,2024-05-16,2024-05-17,1
DEL000366,PO000366,2025-03-10,2025-03-15,5
DEL000367,PO000367,2024-03-31,2024-03-29,-2
DEL000368,PO000368,2025-10-11,2025-10-15,4
DEL000369,PO000369,2024-07-03,2024-07-05,2
DEL000370,PO000370,2024-07-26,2024-07-31,5
DEL000371,PO000371,2025-12-07,2025-12-12,5
DEL000372,PO000372,2024-02-05,2024-02-08,3
DEL000373,PO000373,2024-06-13,2024-06-15,2
DEL000374,PO000374,2024-06-06,2024-06-06,0
DEL000375,PO000375,2025-03-08,2025-03-07,-1
DEL000376,PO000376,2025-02-20,2025-02-18,-2
DEL000377,PO000377,2025-04-06,2025-04-07,1
DEL000378,PO000378,2025-09-04,2025-09-08,4
DEL000379,PO000379,2024-07-23,2024-07-23,0
DEL000380,PO000380,2025-05-07,2025-05-12,5
DEL000381,PO000381,2025-05-28,2025-05-26,-2
DEL000382,PO000382,2025-10-05,2025-10-08,3
DEL000383,PO000383,2024-11-14,2024-11-14,0
DEL000384,PO000384,2025-02-17,2025-02-16,-1
DEL000385,PO000385,2025-11-24,2025-11-22,-2
DEL000386,PO000386,2025-08-20,2025-08-19,-1
DEL000387,PO000387,2024-10-14,2024-10-16,2
DEL000388,PO000388,2025-10-24,2025-10-23,-1
DEL000389,PO000389,2025-12-29,2025-12-27,-2
DEL000390,PO000390,2024-01-15,2024-01-19,4
DEL000391,PO000391,2024-04-19,2024-04-18,-1
DEL000392,PO000392,2025-12-24,2025-12-28,4
DEL000393,PO000393,2025-04-30,2025-04-28,-2
DEL000394,PO000394,2025-11-30,2025-11-29,-1
DEL000395,PO000395,2025-10-21,2025-10-19,-2
DEL000396,PO000396,2025-05-05,2025-05-06,1
DEL000397,PO000397,2025-11-09,2025-11-07,-2
DEL000398,PO000398,2025-01-27,2025-01-25,-2
DEL000399,PO000399,2025-02-21,2025-02-23,2
DEL000400,PO000400,2025-01-11,2025-01-16,5
DEL000401,PO000401,2025-08-20,2025-08-19,-1
DEL000402,PO000402,2024-03-30,2024-04-03,4
DEL000403,PO000403,2025-10-22,2025-10-22,0
DEL000404,PO000404,2024-08-28,2024-09-01,4
DEL000405,PO000405,2025-08-22,2025-08-24,2
DEL000406,PO000406,2024-03-22,2024-03-20,-2
DEL000407,PO000407,2024-11-12,2024-11-14,2
DEL000408,PO000408,2025-09-07,2025-09-08,1
DEL000409,PO000409,2024-04-19,2024-04-17,-2
DEL000410,PO000410,2024-12-01,2024-12-03,2
DEL000411,PO000411,2024-12-15,2024-12-18,3
DEL000412,PO000412,2025-02-20,2025-02-18,-2
DEL000413,PO000413,2025-12-07,2025-12-09,2
DEL000414,PO000414,2024-12-26,2024-12-26,0
DEL000415,PO000415,2025-09-12,2025-09-14,2
DEL000416,PO000416,2025-09-14,2025-09-17,3
DEL000417,PO000417,2025-10-07,2025-10-09,2
DEL000418,PO000418,2025-07-15,2025-07-13,-2
DEL000419,PO000419,2026-01-12,2026-01-10,-2
DEL000420,PO000420,2025-11-23,2025-11-28,5
DEL000421,PO000421,2025-10-05,2025-10-10,5
DEL000422,PO000422,2024-10-19,2024-10-22,3
DEL000423,PO000423,2024-12-27,2024-12-28,1
DEL000424,PO000424,2025-11-18,2025-11-20,2
DEL000425,PO000425,2024-10-26,2024-10-24,-2
DEL000426,PO000426,2024-07-12,2024-07-15,3
DEL000427,PO000427,2024-03-24,2024-03-22,-2
DEL000428,PO000428,2024-03-24,2024-03-24,0
DEL000429,PO000429,2024-12-27,2024-12-25,-2
DEL000430,PO000430,2024-06-15,2024-06-13,-2
DEL000431,PO000431,2025-11-09,2025-11-12,3
DEL000432,PO000432,2025-01-20,2025-01-25,5
DEL000433,PO000433,2024-05-09,2024-05-09,0
DEL000434,PO000434,2025-04-02,2025-04-03,1
DEL000435,PO000435,2025-02-18,2025-02-17,-1
DEL000436,PO000436,2025-05-21,2025-05-22,1
DEL000437,PO000437,2026-01-16,2026-01-17,1
DEL000438,PO000438,2025-09-08,2025-09-06,-2
DEL000439,PO000439,2024-06-08,2024-06-10,2
DEL000440,PO000440,2025-09-11,2025-09-14,3
DEL000441,PO000441,2025-07-20,2025-07-25,5
DEL000442,PO000442,2024-11-14,2024-11-14,0
DEL000443,PO000443,2024-03-18,2024-03-16,-2
DEL000444,PO000444,2025-10-06,2025-10-09,3
DEL000445,PO000445,2024-05-24,2024-05-22,-2
DEL000446,PO000446,2025-05-11,2025-05-14,3
DEL000447,PO000447,2024-11-08,2024-11-08,0
DEL000448,PO000448,2024-01-14,2024-01-18,4
DEL000449,PO000449,2025-01-27,2025-02-01,5
DEL000450,PO000450,2024-08-28,2024-08-29,1
DEL000451,PO000451,2025-09-14,2025-09-16,2
DEL000452,PO000452,2024-08-22,2024-08-25,3
DEL000453,PO000453,2024-04-07,2024-04-07,0
DEL000454,PO000454,2025-04-28,2025-04-27,-1
DEL000455,PO000455,2025-06-13,2025-06-13,0
DEL000456,PO000456,2025-07-05,2025-07-07,2
DEL000457,PO000457,2025-02-13,2025-02-17,4
DEL000458,PO000458,2025-11-16,2025-11-18,2
DEL000459,PO000459,2026-01-05,2026-01-10,5
DEL000460,PO000460,2025-01-17,2025-01-22,5
DEL000461,PO000461,2024-05-09,2024-05-09,0
DEL000462,PO000462,2025-08-14,2025-08-18,4
DEL000463,PO000463,2025-01-17,2025-01-15,-2
DEL000464,PO000464,2024-09-22,2024-09-26,4
DEL000465,PO000465,2025-12-31,2025-12-31,0
DEL000466,PO000466,2024-11-04,2024-11-03,-1
DEL000467,PO000467,2025-03-26,2025-03-25,-1
DEL000468,PO000468,2024-11-26,2024-11-25,-1
DEL000469,PO000469,2025-05-04,2025-05-03,-1
DEL000470,PO000470,2025-11-18,2025-11-21,3
DEL000471,PO000471,2024-11-27,2024-11-27,0
DEL000472,PO000472,2024-06-07,2024-06-10,3
DEL000473,PO000473,2024-10-02,2024-10-04,2
DEL000474,PO000474,2024-08-10,2024-08-08,-2
DEL000475,PO000475,2024-02-11,2024-02-09,-2
DEL000476,PO000476,2024-08-22,2024-08-27,5
DEL000477,PO000477,2025-07-28,2025-07-26,-2
DEL000478,PO000478,2024-09-04,2024-09-09,5
DEL000479,PO000479,2024-09-03,2024-09-05,2
DEL000480,PO000480,2026-01-01,2026-01-03,2
DEL000481,PO000481,2025-01-27,2025-02-01,5
DEL000482,PO000482,2025-10-21,2025-10-21,0
DEL000483,PO000483,2025-01-06,2025-01-10,4
DEL000484,PO000484,2024-08-06,2024-08-07,1
DEL000485,PO000485,2025-01-21,2025-01-20,-1
DEL000486,PO000486,2024-11-26,2024-11-28,2
DEL000487,PO000487,2025-08-04,2025-08-02,-2
DEL000488,PO000488,2025-09-23,2025-09-22,-1
DEL000489,PO000489,2025-11-02,2025-11-04,2
DEL000490,PO000490,2024-07-16,2024-07-20,4
DEL000491,PO000491,2024-05-28,2024-06-01,4
DEL000492,PO000492,2025-01-20,2025-01-21,1
DEL000493,PO000493,2025-07-27,2025-07-29,2
DEL000494,PO000494,2024-02-29,2024-03-05,5
DEL000495,PO000495,2025-04-12,2025-04-14,2
DEL000496,PO000496,2024-07-18,2024-07-17,-1
DEL000497,PO000497,2025-07-21,2025-07-25,4
DEL000498,PO000498,2025-06-28,2025-06-29,1
DEL000499,PO000499,2025-03-30,2025-04-01,2
DEL000500,PO000500,2026-01-07,2026-01-11,4
DEL000501,PO000501,2024-02-20,2024-02-21,1
DEL000502,PO000502,2025-08-15,2025-08-19,4
DEL000503,PO000503,2025-08-22,2025-08-20,-2
DEL000504,PO000504,2025-10-06,2025-10-09,3
DEL000505,PO000505,2026-01-18,2026-01-23,5
DEL000506,PO000506,2025-06-19,2025-06-19,0
DEL000507,PO000507,2024-07-18,2024-07-19,1
DEL000508,PO000508,2024-04-29,2024-05-03,4
DEL000509,PO000509,2025-11-23,2025-11-25,2
DEL000510,PO000510,2025-07-02,2025-07-05,3
DEL000511,PO000511,2025-06-23,2025-06-24,1
